ID,CoodinateSystemNo,X,Y,HasAttribute,施設名,住所,電話番号,URL
1,209,5402.358,-39336.091,1,東海大学付属浦安高等学校,東野三丁目11番1号,047-351-2371,　
2,209,7226.242,-39965.574,1,東京学館浦安高等学校,高洲一丁目23番1号,047-353-8821,　
