ID,CoodinateSystemNo,X,Y,HasAttribute,施設名,住所,電話番号,URL
1,209,6771.032,-37637.593,1,県立浦安高等学校,海楽二丁目36番2号,047-351-2135,　
2,209,7603.942,-41031.495,1,県立浦安南高等学校,高洲九丁目4番1号,047-352-7621,　
